lodge_status,latitude_UTM,longitude_UTM,date
Active,52.1514579,-106.6362304,2017-09-14
Active,52.0661422,-106.7335573,2017-09-12
Active,52.03857,-106.7093377,2017-09-11
Active,52.05749323,-106.7315759,2017-09-12
Active,52.161176,-106.6106953,2017-09-15
Active,51.9869007,-106.758632,2017-09-08
Active,51.9938888,-106.7618351,2017-09-07
Active,52.0042246,-106.7094238,2017-09-07
Active,52.0859332,-106.7205871,2017-09-12
Active,52.05912798,-106.729973,2017-09-12
Active,51.9706892,-106.7967904,2017-09-06
Active,52.126462,-106.6533538,2017-09-13
Active,51.9853831,-106.7181419,2017-09-08
Active,52.1760875,-106.6062339,2017-09-14
Active,52.0113494,-106.7107441,2017-09-07
Active,52.1815078,-106.6035869,2017-09-14
Active,52.1128269,-106.6785897,2017-09-10
Active,52.0897434,-106.7115585,2017-09-12
Active,51.9883607,-106.7359081,2017-09-07
Active,52.0443273,-106.7161755,2017-09-12
Active,52.0301794,-106.715926,2017-09-12
Active,51.9843472,-106.7629406,2017-09-07
Active,51.9748754,-106.7828852,2017-09-06
Active,52.1301529,-106.6471071,2017-09-13
Active,52.0191523,-106.7123837,2017-09-07
Active,52.10205307,-106.6850808,2017-08-10
Active,52.0694814,-106.7345173,2017-09-12
Active,52.012394,-106.7053022,2017-09-12
Active,52.1375411,-106.6429668,2017-09-13
Active,52.1887209,-106.6075724,2017-09-15
Active,52.0803515,-106.732606,2017-09-12
Active,51.9886792,-106.735835,2017-09-07
Active,51.9856134,-106.7177826,2017-09-08
Active,51.9872691,-106.7354857,2017-09-07
Inactive,52.0757671,-106.7343658,2017-09-11
Inactive,51.9952721,-106.7595824,2017-09-07
Inactive,52.1961333,-106.6169629,2017-09-14
Inactive,52.0528263,-106.7267172,2017-09-12
Inactive,52.0462014,-106.7146335,2017-09-11
Inactive,52.1607849,-106.6155708,2017-09-14
Inactive,52.0792712,-106.7232323,2017-09-11
Inactive,52.0065414,-106.7090416,2017-09-07
Inactive,52.1414388,-106.6395464,2017-09-13
Inactive,52.0511621,-106.7238379,2017-09-12
Inactive,52.0727672,-106.7351965,2017-09-12
Inactive,52.1771299,-106.6010872,2017-09-15
Inactive,52.1389921,-106.6444987,2017-09-13
Inactive,52.1394193,-106.6403293,2017-09-13
Inactive,52.0880522,-106.7141053,2017-09-12
Inactive,52.1281337,-106.6551107,2017-09-13
Inactive,52.1823093,-106.6033712,2017-09-14
Inactive,52.1880534,-106.6109021,2017-09-14
Inactive,52.0213874,-106.7055683,2017-09-08
Inactive,52.1150504,-106.6758868,2017-09-10
Inactive,51.993737,-106.7099847,2017-09-08
Inactive,51.9925585,-106.7159658,2017-09-07
Inactive,52.0777182,-106.7342586,2017-09-11
Inactive,51.9962323,-106.7528825,2017-09-07
Inactive,52.0830251,-106.7268624,2017-09-11
Inactive,51.9827851,-106.7215107,2017-09-08
Inactive,52.0362041,-106.7082733,2017-09-11
Inactive,51.9953373,-106.7595214,2017-09-11
Inactive,52.0690566,-106.7366724,2017-09-12
Inactive,51.9705292,-106.7793394,2017-09-06
Inactive,52.0694153,-106.7296157,2017-09-11
Inactive,52.1207745,-106.6637144,2017-09-13
Inactive,51.9961543,-106.7499671,2017-09-07
Inactive,52.1582009,-106.6268526,2017-09-15
Inactive,52.0406061,-106.7114596,2017-09-07
Inactive,51.9703999,-106.7801771,2017-09-06
Inactive,52.0800084,-106.7166559,2017-09-18
Inactive,52.0338705,-106.7165633,2017-09-07
Inactive,51.995008,-106.7149121,2017-09-07
Inactive,52.102671,-106.6887486,2017-08-09
Inactive,51.9862798,-106.7390829,2017-09-08
Inactive,52.0353424,-106.708067,2017-09-11
Inactive,52.1615382,-106.6100987,2017-09-15
Inactive,52.0629108,-106.7348457,2017-09-12
Inactive,51.9840255,-106.7370572,2017-09-08
Inactive,51.9737375,-106.7641285,2017-09-06
Inactive,52.073598,-106.7279259,2017-09-11
Inactive,52.0797174,-106.7221936,2017-09-11
Inactive,51.992724,-106.7628631,2017-09-07
Inactive,52.0388852,-106.7095722,2017-09-11
Inactive,52.0862715,-106.7144733,2017-09-11
Inactive,52.0646457,-106.7350311,2017-09-12
Inactive,52.0869728,-106.7078649,2017-09-11
Inactive,52.0030052,-106.705873,2017-09-08
Inactive,52.1246704,-106.654591,2017-09-13
Inactive,52.055871,-106.7306254,2017-09-12
Inactive,52.1737891,-106.9632018,2017-09-08
Inactive,52.0753164,-106.734072,2017-09-11
Inactive,52.1948891,-106.6159661,2017-09-14
Inactive,51.9906079,-106.7640271,2017-09-07
Inactive,52.0818619,-106.7186352,2017-09-11
Inactive,51.9749585,-106.7621802,2017-09-06
Inactive,52.0842098,-106.7250459,2017-09-11
Inactive,51.9857471,-106.7206606,2017-09-07
Inactive,52.0900617,-106.7016278,2017-09-11
Inactive,52.0854785,-106.7201205,2017-09-11
Inactive,51.9812351,-106.7233623,2017-09-08
Inactive,52.1561058,-106.6309999,2017-09-15
Inactive,52.0361127,-106.7081921,2017-09-11
Inactive,52.1492839,-106.6338635,2017-09-15
Inactive,52.0818059,-106.7287016,2017-09-11
Inactive,52.055197,-106.7304741,2017-09-12
Inactive,52.1279733,-106.6554654,2017-09-13
Inactive,52.075906,-106.7231603,2017-09-18
Inactive,52.0369648,-106.7188372,2017-09-12
Inactive,52.1349284,-106.643089,2017-09-13
Inactive,52.0866229,-106.7139676,2017-09-11
Inactive,52.0769327,-106.7207595,2017-09-18
Inactive,52.0779754,-106.727089,2017-09-11
Inactive,52.0744763,-106.7353195,2017-09-12
Inactive,52.0485053,-106.720935,2017-09-12
Inactive,52.0542714,-106.7294024,2017-09-12
Inactive,52.1282454,-106.6563863,2017-09-13
Inactive,52.0495139,-106.7217831,2017-09-12
Inactive,52.0858291,-106.718535,2017-09-11
Inactive,52.1280375,-106.6554987,2017-09-13
Inactive,52.1381157,-106.6453314,2017-09-13
Inactive,52.0007607,-106.7112281,2017-09-07
Inactive,52.1943357,-106.6158324,2017-09-14
Inactive,52.128405,-106.6547118,2017-09-13
Inactive,52.0799249,-106.7213515,2017-09-11
Inactive,52.0836529,-106.7257412,2017-09-11
Inactive,51.9842507,-106.7306171,2017-09-07
Inactive,52.0370258,-106.7085157,2017-09-11
Inactive,52.0851184,-106.7215492,2017-09-11
Inactive,52.0556938,-106.7309531,2017-09-12
Inactive,52.0779622,-106.717472,2017-09-18
Inactive,52.1354779,-106.6425275,2017-09-13
Inactive,52.1662688,-106.6069016,2017-09-15
Inactive,52.0349979,-106.7079922,2017-09-11
Inactive,52.0811538,-106.7299087,2017-09-11
Inactive,51.9799393,-106.7585251,2017-09-06
Inactive,52.0869803,-106.7162945,2017-09-11
Inactive,51.983657,-106.7579919,2017-09-08
Inactive,51.9802712,-106.7584312,2017-09-06
Inactive,52.0584749,-106.7322456,2017-09-12
Inactive,51.9689348,-106.7898115,2017-09-06
Inactive,52.002141,-106.7102487,2017-09-07
Inactive,51.9973331,-106.7084969,2017-09-08
